AcX,AcY,AcZ,GyX,GyY,GyZ,time
-1700,-12888,-6536,-1709,-1552,13234,94625
-5376,-18560,-556,2282,-6027,11659,94646
2620,-16760,-3116,1253,-8532,9598,94667
6144,-17440,-3832,570,-945,9056,94688
-352,-18564,-2440,1291,547,12189,94709
28,-15464,-3400,39,1518,10142,94730
-1928,-16812,-2752,937,-2500,7226,94751
64,-16296,-3056,846,-2673,5290,94772
356,-16396,-2516,817,-1285,5036,94793
-532,-16056,-2692,334,121,4664,94814
-1428,-15764,-3088,190,-737,3590,94835
-1400,-15908,-2744,-110,-2079,2352,94856
-416,-16260,-3200,-2,-2421,2399,94877
-120,-16508,-3184,401,-2410,3185,94898
-1140,-14664,-3252,1185,-1845,3414,94919
-3760,-15004,-740,162,-1716,4076,94940
-1372,-16532,-2776,1022,-4876,4991,94961
924,-15864,-4512,1380,-3527,4547,94982
-2520,-18680,-2864,1456,-3489,8589,95003
-352,-18216,-2476,2314,-6067,9779,95024
808,-19064,-2040,2638,-5356,11540,95045
-316,-19060,-2192,3187,-4736,13851,95066
-712,-20900,-2576,3890,-5406,15630,95087
152,-22676,-2960,4987,-6266,17879,95108
2048,-24788,-4592,5919,-6789,20113,95129
3464,-26872,-5688,6396,-8478,22218,95150
2996,-28428,-4988,6248,-8908,25521,95171
3096,-29904,-6896,7284,-13313,26659,95192
5444,-30692,-6536,7402,-19168,25088,95213
5516,-24432,-9312,7539,-20937,21464,95234
992,-16536,-11604,4387,-12084,23352,95255
-7240,-10888,-7132,-1237,-6654,16732,95276
-9736,-9764,3936,903,-8641,7152,95297
5860,-5828,-4360,-741,-19508,-9985,95318
16272,344,-1132,-4734,-9514,-14117,95339
9248,-2808,-28,-10999,8276,-18010,95360
-372,-5992,-1472,-12899,13130,-23564,95381
-2080,-8708,672,-14910,8569,-28703,95402
340,-12000,2116,-15732,3167,-32768,95423
-1764,-15500,2828,-17654,1796,-32768,95444
-2788,-20104,7536,-16715,-454,-32768,95465
160,-21588,6316,-16048,-897,-32768,95486
868,-24652,2996,-15554,4910,-32768,95507
-508,-27144,1488,-14674,9938,-32768,95528
-792,-27488,-504,-13368,14551,-32768,95549
-4120,-29392,-1128,-12491,20976,-32768,95570
-7628,-30088,-1024,-10092,23961,-30077,95591
-10916,-28604,-2788,-6746,23316,-23841,95612
-16980,-21288,-1600,-4445,18029,-14407,95633
-21744,-18636,-2364,-907,10800,480,95654
-26388,-22356,-444,-1099,6923,5070,95675
-27312,-19688,-3692,201,-847,17539,95696
-744,-25948,8,3619,-26544,15484,95717
32767,-32768,-3536,2731,-11796,8689,95738
14616,-1184,-9948,2863,5925,26758,95759
-6904,-22392,3548,-582,12773,30411,95780
-5184,-15128,-668,-2240,1737,14655,95801
-2920,-10940,-5424,-1533,357,10587,95822
-1816,-20016,-1588,-3,-3769,11627,95843
324,-19604,-3004,299,-6873,9224,95866
4700,-14528,-3780,-382,-3505,8442,95887
-648,-21564,-664,-759,1290,11144,95908
708,-14400,-3212,626,1434,11673,95929
-2988,-16608,-4076,782,349,9185,95950
-904,-16112,-2840,895,-2655,6298,95971
-8,-16976,-2464,788,-1622,5549,95992
-508,-16232,-1616,489,-250,5327,96013
-768,-16004,-2260,-150,-125,4096,96034
-1752,-16008,-3324,-367,-1350,3060,96055
-1256,-15764,-2608,-165,-2069,1953,96076
-308,-17424,-3704,-67,-2435,1108,96097
-3364,-14780,-2656,88,-831,3526,96118
-620,-17348,-2664,89,-3466,1843,96139
-1344,-14412,-3580,-686,-1746,1242,96161
-3284,-17444,-3008,798,-5189,3946,96182
1336,-16948,-4336,1116,-5716,5357,96203
40,-17724,-3040,1539,-5628,7706,96224
824,-18244,-1956,2201,-5515,9831,96245
1532,-18816,-2972,3120,-3255,12631,96266
-412,-20332,-2736,3674,-2323,15020,96287
-1264,-21616,-2244,4558,-3718,17356,96308
692,-23120,-3920,4919,-4893,19668,96329
1752,-25608,-5788,4656,-6888,22308,96350
3880,-29076,-6960,4701,-10029,25220,96371
5468,-29848,-8532,4161,-13680,26614,96392
2264,-28948,-5872,4635,-16654,27908,96413
3600,-25052,-7012,4839,-23628,23532,96434
3132,-19248,-6312,4584,-22163,20641,96455
-8352,-12656,-9016,529,-9433,16826,96476
-16676,-656,-7596,16289,-4950,11250,96497
-124,-5496,624,-5622,-19047,-4853,96518
18156,-5464,-396,-1642,-17067,-17400,96539
17280,-1612,-2032,-8070,6539,-14977,96560
2772,-6824,-1520,-11772,18078,-20688,96581
-5948,-11696,1236,-12000,13621,-25878,96602
-2448,-13376,2104,-12356,2735,-31455,96623
1380,-13560,1192,-14835,1677,-32768,96644
-1524,-18900,3720,-15540,2997,-32768,96665
-1208,-20504,3616,-15163,1744,-32768,96686
1404,-22468,1348,-15798,4508,-32768,96707
728,-24892,372,-14926,8267,-32768,96728
-660,-28680,1220,-15055,10288,-32768,96749
-1432,-29672,696,-13230,13922,-32768,96770
-4612,-30352,-380,-10824,20173,-32768,96791
-9920,-29488,-1988,-8521,25564,-27850,96812
-13956,-25200,-4188,-5907,27724,-18350,96833
-19832,-19588,-48,-5833,22015,-11127,96854
-25792,-16520,-3536,-1236,16512,6594,96875
-28304,-22320,-3448,-4670,7584,12996,96896
-14904,-19468,-1496,2301,-6221,20397,96917
19832,-25200,1844,3487,-16879,10893,96938
26740,-18896,-8004,4270,2088,22365,96959
-6924,-9680,2652,-6299,12678,32767,96980
-12508,-32156,1552,-1687,8323,26590,97001
-3544,-15312,608,-31,-1131,11134,97022
608,-13940,-5336,-2518,-2842,9725,97043
-2860,-19476,-2040,-495,-4534,9621,97064
1148,-17620,-3104,-346,-6372,7645,97085
3724,-17628,-3608,-779,-1528,6956,97106
740,-17004,-416,-638,219,8322,97127
68,-16480,-3712,-371,477,8258,97148
-1336,-15824,-3604,-294,-2237,5852,97169
-84,-16468,-2624,-239,-4183,4148,97190
1208,-16348,-2184,-125,-1521,4614,97213
-1280,-15584,-2496,-428,-750,5041,97234
-600,-16044,-2984,-267,-2358,4525,97255
-752,-16224,-3368,226,-3337,4780,97276
-456,-16792,-2404,450,-3665,4969,97297
-1052,-16172,-2976,883,-3243,6279,97318
2548,-13120,-9124,2132,-2536,2661,97339
-1696,-14776,-3784,1807,-3339,6004,97360
-3664,-15252,-1088,1437,-2742,7272,97381
-2828,-17696,-2324,1759,-4280,7568,97402
-152,-17636,-716,1303,-5485,8147,97423
-1012,-18964,-1648,2398,-4719,9929,97444
416,-19912,-1404,3349,-5007,13029,97465
408,-20528,-1640,4294,-3209,15948,97486
-1340,-22096,-1652,5399,-3943,18677,97507
1252,-23980,-4020,5904,-6228,20838,97528
4332,-28136,-3328,7072,-6525,24378,97549
2836,-30148,-1264,7085,-6860,27285,97570
1932,-30568,20,7606,-9945,26829,97591
7004,-31840,-2148,9417,-16674,22339,97612
7880,-23796,-11352,9343,-10153,21519,97633
-2444,-15732,-11780,4089,11004,25461,97654
-13464,-11148,3284,15568,11036,15140,97675
-6396,-4152,-464,3250,-14820,-2650,97696
10472,-2072,-4072,6032,-26450,-15575,97717
13604,608,-4704,1331,-11075,-19438,97738
4896,-2600,-996,-2650,1325,-27899,97759
2956,-6672,-2136,-5206,6873,-31415,97780
3744,-10024,-4172,-8799,12475,-32768,97801
-1588,-14136,-3812,-12120,20272,-32768,97822
-8920,-22216,276,-11031,21520,-32768,97843
-10888,-26700,4424,-8056,18609,-32768,97864
-6264,-26348,292,-4120,18879,-32768,97885
-5212,-25552,-3100,-2586,24938,-32768,97906
-2424,-24568,-6804,-1931,32767,-29927,97927
-1324,-22860,-12404,-3508,32767,-27018,97948
-5180,-26956,-12320,-2081,32767,-24024,97969
-7864,-25336,-14124,-1602,32767,-21582,97990
-6792,-19984,-21448,-5172,32767,-16487,98011
-10712,-16896,-18536,-8667,32767,-10875,98032
-18312,-21532,-3592,-3539,32767,-3915,98053
-28572,-19400,-21272,-8505,28710,12881,98074
